author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Wilfred Ng,n/WilfredNg,3,40,0.24193982058615043,0.004075810067250866
Jing Shao,91/5981,3,34,0.25048081789654825,0.0034644385571632364
Tzu-Yi Hung,1564822,3,30,0.29273630663669703,0.0030568575504381496
Alex Yong Sang Chia,51/3141,3,30,0.2520884270578647,0.0030568575504381496
Adam Jatowt,j/AdamJatowt,3,30,0.25218476903870163,0.0030568575504381496
Xindi Shang,154/1996,3,30,0.269069754798021,0.0030568575504381496
James H. von Brecht,24/9745,3,28,0.18056442344528156,0.0028530670470756064
Yunhua Deng,97/9078,3,26,0.25938834875127753,0.002649276543713063
Chin-Yew Lin,64/6843,3,25,0.28340730136005726,0.002547381292031791
Jingyuan Chen,134/1184,3,25,0.29294424055877827,0.002547381292031791
Peng Song 0001,58/3960-1,3,24,0.26410160627568174,0.0024454860403505196
Jingwen Bian,123/2963,3,19,0.2711780821917808,0.0019360097819441614
Qi Tian 0001,78/1467-1,3,15,0.26534770253605705,0.0015284287752190748
Shangyu Chen,189/9141,3,12,0.25348289284982584,0.0012227430201752598
Yuming Fang,31/9004,2,288,0.31140475066855433,0.029345832484206236
Xintao Wang,205/3991,2,236,0.2841966234064546,0.02404727939678011
Yiqiang Chen,48/1091,2,175,0.3369417211328976,0.01783166904422254
Chew Lim Tan,t/ChewLimTan,2,154,0.2851709931141779,0.015691868758915834
Shiqi Wang 0001,58/9145-1,2,144,0.3049761207826221,0.014672916242103118
Joey Tianyi Zhou,123/5110,2,103,0.33495769881556686,0.01049521092317098
Xian-Sheng Hua 0001,56/5807-1,2,87,0.3215933458964195,0.008864886896270633
Hongyuan Zhu,133/4527,2,85,0.3051077340402577,0.00866109639290809
Peilin Zhao,84/8411,2,83,0.3263112781459137,0.008457305889545547
Dongzhan Zhou,236/4960,2,77,0.2846379478921033,0.007845934379457917
Kuiyu Chang,34/6669,2,74,0.32126975883670356,0.007540248624414102
Yichao Jin,42/8333,2,74,0.295031148469403,0.007540248624414102
Christian S. Jensen,j/ChristianSJensen,2,74,0.26757860020004864,0.007540248624414102
Lei Feng,76/847,2,72,0.27880119429891276,0.007336458121051559
Guanyu Gao,150/6757,2,71,0.2808022922636103,0.0072345628693702875
Wei Feng 0005,17/1152-5,2,70,0.28938981960646726,0.007132667617689016
Jianxin Wu,w/JianxinWu,2,67,0.31563506489365095,0.006826981862645201
Jing Tang 0004,83/663-4,2,67,0.2839601801646728,0.006826981862645201
Pierre Vandergheynst,16/355,2,67,0.18059736894922182,0.006826981862645201
Chia-Wen Lin,l/ChiaWenLin,2,54,0.29459210095538557,0.0055023435907886695
Jianshu Weng,98/392,2,52,0.3140128803020209,0.005298553087426126
Xu Yang,63/1534,2,52,0.2949783936820146,0.005298553087426126
Fangneng Zhan,223/4246,2,49,0.2637778488434069,0.004992867332382311
Zhenzhong Chen,07/954,2,47,0.3036475749302083,0.0047890768290197675
Bin Cui 0001,55/5031,2,46,0.26616828461559144,0.004687181577338496
Min Xu 0001,09/0-1,2,44,0.2903064965537469,0.004483391073975953
Heng Tao Shen,s/HTShen,2,44,0.28874821319175004,0.004483391073975953
Feng Pan,84/1769,2,43,0.29193334316472497,0.004381495822294681
Kaiqi Zhao 0001,127/6172-1,2,42,0.2795492416753749,0.0042796005706134095
Ada Wai-Chee Fu,f/AdaWaiCheeFu,2,42,0.27249951821160145,0.0042796005706134095
Zichuan Liu,38/11010,2,42,0.28484272928717375,0.0042796005706134095
Qingyi Tao,179/0983,2,40,0.28853777985074625,0.004075810067250866
Roger Zimmermann,79/1490,2,40,0.2843435794311979,0.004075810067250866
Shuai Yi,150/6633,2,40,0.28076246667044874,0.004075810067250866
Kaidi Cao,203/8207,2,38,0.2433974327447991,0.0038720195638883227
Ruby B. Lee,87/4706,2,38,0.22724768114611074,0.0038720195638883227
Hao Yang,54/4089,2,37,0.3089552704685208,0.003770124312207051
Jiaxin Shi,151/7509,2,37,0.25297755967898583,0.003770124312207051
Yubin Deng,153/2574,2,36,0.24483637173176342,0.0036682290605257795
Jinjun Wang,87/4858,2,34,0.2687701957802699,0.0034644385571632364
Pengcheng Wu,77/2927,2,33,0.2974873767732628,0.0033625433054819643
Linhong Zhu,23/6504,2,33,0.2980786604830452,0.0033625433054819643
Daqing Liu,225/5519,2,33,0.24884352373290428,0.0033625433054819643
Xingang Pan,211/7940,2,32,0.2433854627717124,0.0032606480538006927
Boon-Siew Seah,27/4985,2,32,0.2686243113414932,0.0032606480538006927
Qi Tian 0002,78/1467-2,2,29,0.2901107919573246,0.002954962298756878
Michael M. Bronstein,280690,2,29,0.18056442344528156,0.002954962298756878
Tuan-Anh Nguyen Pham,163/4020,2,28,0.2713713878379119,0.0028530670470756064
Zhixiang Ren,21/8692,2,27,0.26539750636814585,0.0027511717953943348
Yiding Liu,155/1107,2,27,0.2709331289519065,0.0027511717953943348
Wenfei Fan,94/2372,2,27,0.2629998671449449,0.0027511717953943348
Dao Thi Phuong Quynh,11/10767,2,27,0.27440326023675526,0.0027511717953943348
Wang Ling Goh,22/4018,2,27,0.279699333107268,0.0027511717953943348
Bolei Zhou,46/8066,2,27,0.24510920707245804,0.0027511717953943348
Patrick Francis,01/1098,2,26,0.24666068580542264,0.002649276543713063
David C. Shepherd,153/5343,2,26,0.24666068580542264,0.002649276543713063
Handong Zhao,79/8522,2,26,0.275411113275272,0.002649276543713063
Song Liu 0001,80/1141-1,2,26,0.25482724885433294,0.002649276543713063
Yueting Zhuang,218/7793,2,26,0.28130506451429543,0.002649276543713063
Xuesen Zhang,230/1257,2,26,0.2765422440768887,0.002649276543713063
Shizhan Zhu,151/6544,2,26,0.24339144761108517,0.002649276543713063
Yue Gao 0002,33/3099-2,2,26,0.2885882558749781,0.002649276543713063
Zhifeng Bao,20/3716,2,25,0.26056968356763016,0.002547381292031791
Xiaoming Chen,72/2676,2,25,0.2672390517846536,0.002547381292031791
Xiangang Cheng,92/5664,2,24,0.28181766414213316,0.0024454860403505196
Lei Yang,50/2484,2,24,0.2608787327692997,0.0024454860403505196
Qiming Ai,255/6169,2,24,0.279920814479638,0.0024454860403505196
Bohan Zhuang,145/1096,2,22,0.2780805753778727,0.0022416955369879764
Kong-Wah Wan,62/8429,2,22,0.2842455918672104,0.0022416955369879764
Jianke Zhu,773129,2,22,0.2941281350291216,0.0022416955369879764
Yining Li,166/3420,2,22,0.24336751001942417,0.0022416955369879764
Tak-Wai Hui,77/10109,2,22,0.2433974327447991,0.0022416955369879764
Yuanming Li,205/5706,2,22,0.2752885551383674,0.0022416955369879764
Ming Jiang,02/10377,2,20,0.2885798419779002,0.002037905033625433
Dapeng Chen,426696,2,20,0.24624340730420938,0.002037905033625433
Jiaheng Lu,l/JiahengLu,2,19,0.26226120134601627,0.0019360097819441614
Xin Xu,66/3874,2,19,0.2920970312223337,0.0019360097819441614
Xingcheng Zhang,190/7261,2,18,0.24507886201005274,0.0018341145302628898
Bryan L. Koenig,139/6464,2,17,0.26201821262177044,0.0017322192785816182
Zhonghua Wu,200/9134,2,16,0.27425119835970185,0.0016303240269003464
Timothy M. Hospedales,32/3545,2,16,0.2487934848180173,0.0016303240269003464
Wook-Shin Han,62/2450,2,15,0.26553278248739137,0.0015284287752190748
Weide Liu,261/9166,2,14,0.3002578492340361,0.0014265335235378032
Lucas Vinh Tran,242/7881,2,14,0.2725520431765613,0.0014265335235378032
Jiashi Feng,56/8278,2,14,0.2795492416753749,0.0014265335235378032
Victor Junqiu Wei,199/6298,2,13,0.24236636548397364,0.0013246382718565316
Qi He,51/6972,2,12,0.2904854140987263,0.0012227430201752598
Ehsan Shahrian Varnousfaderani,72/4723,2,12,0.24082139120702659,0.0012227430201752598
Kai Huang,86/489,2,12,0.252919381627699,0.0012227430201752598
Guojie Song,37/2900,2,11,0.2656610660797681,0.0011208477684939882
