author,author-pid,year,Position,Gender,Management,Area,top_venue_count,co-author-pid,weight,paper-list,Faculty-co-author,Position-co-author,Gender-co-author,Management-co-author,Area-co-author
Ying He 0001,h/YingHe1,2019.0,Associate Professor,M,N,Computer Graphics,0.0,42/2501-1,2.0,"['journals/cviu/LuDLCYH19', 'journals/iotj/LiHWLHYC19']",Luo Jun,Associate Professor,M,N,Computer Networks
Sinno Jialin Pan,80/5412,2019.0,Associate Professor,M,N,AI/ML,1.0,42/2501-1,1.0,['journals/tmc/WangLPS19'],Luo Jun,Associate Professor,M,N,Computer Networks
Aixin Sun,78/5155,2019.0,Associate Professor,M,N,Information Retrieval,1.0,42/2501-1,1.0,['journals/tmc/WangLPS19'],Luo Jun,Associate Professor,M,N,Computer Networks
Dusit Niyato,76/440,2019.0,Professor,M,N,Computer Networks,0.0,47/2026-7,9.0,"['journals/tvt/KangXNYKZ19', 'conf/globecom/XiongZNWZ19', 'conf/smartgridcomm/Jiao0NZLK19', 'journals/corr/abs-1906-10893', 'journals/corr/abs-1907-08927', 'journals/corr/abs-1910-09172', 'journals/corr/abs-1910-14383', 'journals/corr/abs-1911-03298', 'journals/corr/abs-1912-05744']",Zhao Jun,Assistant Professor,M,N,Computer Networks
Rui Tan,00/5179,2019.0,Assistant Professor,M,N,Computer Architecture,0.0,47/2026-7,1.0,['journals/corr/abs-1906-10893'],Zhao Jun,Assistant Professor,M,N,Computer Networks
Kwok-Yan Lam,10/1993,2019.0,Professor,M,N,Cyber Security,0.0,47/2026-7,3.0,"['journals/corr/abs-1911-03298', 'conf/ipccc/WangYRZL19', 'journals/corr/abs-1911-12060']",Zhao Jun,Assistant Professor,M,N,Computer Networks
Siu Cheung Hui,65/3225,2019.0,Associate Professor,M,N,Information Retrieval,0.0,47/2026-7,2.0,"['conf/icde/WangXYZHSS019', 'journals/corr/abs-1907-00782']",Zhao Jun,Assistant Professor,M,N,Computer Networks
Han Yu 0001,35/1096-1,2019.0,Assistant Professor,M,N,AI/ML,0.0,47/2026-7,1.0,['journals/corr/abs-1911-12060'],Zhao Jun,Assistant Professor,M,N,Computer Networks
Mo Li 0001,87/4982-1,2019.0,Associate Professor,M,N,Computer Networks,0.0,47/2026-7,1.0,['conf/infocom/ShiXLLZ19'],Zhao Jun,Assistant Professor,M,N,Computer Networks
Sourav S. Bhowmick,b/SSBhowmick,2019.0,Associate Professor,M,N,Data Management,3.0,47/2026-7,2.0,"['conf/sigmod/YangXWBZL19', 'journals/corr/abs-1904-02707']",Zhao Jun,Assistant Professor,M,N,Computer Networks
