author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year,conference,title,Faculty,Position,Gender,Management,Area
Xiucheng Li,152/8201,conf/kdd/LiCCC17,1,33/3180,17,5,0.27648817,0.000180236,2017,,,,,,,
Xiucheng Li,152/8201,conf/kdd/LiCCC17,1,58/4223,17,3,0.27648817,0.000180236,2017,,,,,,,
Xiucheng Li,152/8201,conf/kdd/LiCCC17,1,37/10606,17,1,0.27648817,0.000180236,2017,,,,,,,
Xiangyu Ke,194/2946,conf/sigmod/KeKC18,1,33/3180,16,1,0.261278146,0.000169633,2018,,,,,,,
Donald Kossmann,k/DonaldKossmann,journals/corr/KhanSK16,1,190/7057,9,2,0.225364299,9.54E-05,2016,,,,,,,
Donald Kossmann,k/DonaldKossmann,conf/sigmod/KhanYDK14,1,67/2933,9,4,0.225364299,9.54E-05,2014,,,,,,,
Donald Kossmann,k/DonaldKossmann,conf/sigmod/KhanYDK14,1,147/1261,9,1,0.225364299,9.54E-05,2014,,,,,,,
Donald Kossmann,k/DonaldKossmann,conf/sigmod/KhanYDK14,1,147/1238,9,1,0.225364299,9.54E-05,2014,,,,,,,
Francesco Bonchi,b/FBonchi,journals/pvldb/KhanBB17,1,b/SSBhowmick,18,1,0.256897402,0.000190838,2017,,,,,,,
Donald Kossmann,k/DonaldKossmann,conf/icde/KhanZK16,1,181/9110,9,1,0.225364299,9.54E-05,2016,,,,,,,
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,137/7959,25,5,0.257659768,0.000265052,2013,,,,,,,
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,y/XifengYan,25,5,0.257659768,0.000265052,2013,,,,,,,
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,e/RamezElmasri,25,5,0.257659768,0.000265052,2013,,,,,,,
Chengkai Li,14/3692,journals/corr/JayaramKLYE13,1,67/2933,25,5,0.257659768,0.000265052,2013,,,,,,,
Xifeng Yan,y/XifengYan,journals/corr/JayaramKLYE13,3,137/7959,44,5,0.241408746,0.000466492,2013,,,,,,,
Xifeng Yan,y/XifengYan,journals/corr/JayaramKLYE13,3,14/3692,44,5,0.241408746,0.000466492,2013,,,,,,,
Xifeng Yan,y/XifengYan,journals/corr/JayaramKLYE13,3,e/RamezElmasri,44,5,0.241408746,0.000466492,2013,,,,,,,
Xifeng Yan,y/XifengYan,conf/sigmod/KhanYW10,3,67/2933,44,13,0.241408746,0.000466492,2010,,,,,,,
